id	title	description	category	inventoryHeight	inventoryWidth	image	customProperties
act_core_basic_attack_card	Basic Attack	Free basic attack card. Can be played once per turn.	combat_card				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""true"",""isBasicAttack"":""true"",""aiTag"":""""}"
act_core_end_turn	End Turn	Ends active combatant turn and advances turn flow.	combat_core				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""false"",""isBasicAttack"":""false"",""aiTag"":""""}"
act_forged_maintenance_check	Maintenance Check	On long rest, verify maintenance tools or assistance; otherwise apply degradation effect.	rest				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""false"",""isBasicAttack"":""false"",""aiTag"":""""}"
act_forged_replace_augmentation	Replace Augmentation	At level 10, replace one prior augmentation with another list option.	level_up				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""false"",""isBasicAttack"":""false"",""aiTag"":""""}"
act_forged_resilience_trigger	Forged Resilience Trigger	When reduced to 0 HP but not killed outright, drop to 1 HP if not used this rest.	reaction				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""false"",""isBasicAttack"":""false"",""aiTag"":""""}"
act_forged_select_aug_slot_1	Select Augmentation Slot 1	Choose one augmentation at level 1.	character_creation				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""false"",""isBasicAttack"":""false"",""aiTag"":""""}"
act_forged_select_aug_slot_2	Select Augmentation Slot 2	At level 5, choose a second augmentation from list.	level_up				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""false"",""isBasicAttack"":""false"",""aiTag"":""""}"
act_forged_select_heritage	Select Forged Heritage	Choose one heritage branch and apply linked profile and lore tag.	character_creation				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""false"",""isBasicAttack"":""false"",""aiTag"":""""}"
act_forged_select_integrated_resistance	Select Integrated Resistance	Choose bludgeoning, slashing, or piercing resistance source from chassis configuration.	character_creation				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""false"",""isBasicAttack"":""false"",""aiTag"":""""}"
act_ironclad_apply_resonance_fracture	Apply Resonance Fracture	Apply disadvantage state until atonement and meditation are completed.	state_change				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""false"",""isBasicAttack"":""false"",""aiTag"":""""}"
act_ironclad_between_awareness	Between Awareness	Cannot be surprised while conscious; advantage on initiative.	passive				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""false"",""isBasicAttack"":""false"",""aiTag"":""""}"
act_ironclad_between_mastery	Between Mastery	Dodge as bonus action and surge upgrades.	passive				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""false"",""isBasicAttack"":""false"",""aiTag"":""""}"
act_ironclad_between_stance	Between Stance	Attack action rider: avoid opportunity attacks and impose disadvantage on first attack against you.	combat_bonus_action				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""false"",""isBasicAttack"":""false"",""aiTag"":""""}"
act_ironclad_blade_sworn	Blade-Sworn	Weapon return, anti-disarm, incorporeal strike support.	passive_weapon				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""false"",""isBasicAttack"":""false"",""aiTag"":""""}"
act_ironclad_burden_strike	Burden Strike	Impose disadvantage on attack against nearby ally.	reaction				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""false"",""isBasicAttack"":""false"",""aiTag"":""""}"
act_ironclad_code_sworn_precision	Code-Sworn Precision	Once per turn, treat low attack roll as 10.	passive				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""false"",""isBasicAttack"":""false"",""aiTag"":""""}"
act_ironclad_echomind_clarity	Echomind Clarity	Advantage on Wisdom saves; immune to forced oath-breaking control.	passive				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""false"",""isBasicAttack"":""false"",""aiTag"":""""}"
act_ironclad_enhancement_integration	Enhancement Integration	Integrated weapons count magical and detect enhancement tampering.	passive				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""false"",""isBasicAttack"":""false"",""aiTag"":""""}"
act_ironclad_iron_breath	Iron Breath	Suppress enhancement signature for one minute; once per short rest.	utility_bonus_action				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""false"",""isBasicAttack"":""false"",""aiTag"":""""}"
act_ironclad_iron_endurance	Iron Endurance	Choose physical resistance and once per long rest drop-to-1 effect.	passive_reaction				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""false"",""isBasicAttack"":""false"",""aiTag"":""""}"
act_ironclad_iron_witness	Iron Witness	Gain temporary HP when nearby creature drops to 0 HP.	passive_combat				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""false"",""isBasicAttack"":""false"",""aiTag"":""""}"
act_ironclad_perfect_kata	Perfect Kata	High-impact burst attack sequence.	combat				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""false"",""isBasicAttack"":""false"",""aiTag"":""""}"
act_ironclad_resonant_armor	Resonant Armor	Unarmored AC formula and reaction damage reduction.	passive_reaction				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""false"",""isBasicAttack"":""false"",""aiTag"":""""}"
act_ironclad_resonant_strike	Resonant Strike	Once per turn, add Wisdom modifier to qualified melee hit damage.	passive_combat				"{""apCost"":""0"",""playLimitPerTurn"":""1"",""isCard"":""false"",""isBasicAttack"":""false"",""aiTag"":""""}"
